,,,,,Deaths,,,,,,,,,,,DALYs,,,,,,,,,,,HYL,,,,,,,,,,,YLD,,,,,,,,,,,Prevalence,,,,,,,,,
Country Name,Income Status,ISO3,GBD Code,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10,,DNull,D1,D2,D3,D5,D6,D7,D8,D9,D10
Gambia,LIC,GMB,206,,"7,206,784","7,206,293","7,206,464","7,203,488","7,205,811",,,,,,,"372,544,256","372,494,332","372,519,471","270,216,215","372,235,709",,,,,,,"588,638,329","588,682,838","588,659,486","589,260,479","588,933,030",,,,,,,"92,207,462","92,220,353","92,212,107","91,854,667","91,981,883",,,,,,,"680,845,791","680,903,191","680,871,593","681,115,147","680,914,913",,,,,
Ghana,LMIC,GHA,207,,"70,543,267","70,537,110","70,539,282","70,502,962","70,531,695",,,,,,,"3,254,132,773","3,253,492,838","3,253,812,861","3,245,485,076","3,250,094,351",,,,,,,"5,470,942,280","5,471,575,551","5,471,237,905","5,479,286,460","5,474,845,804",,,,,,,"911,115,920","911,304,795","911,189,720","906,545,511","908,153,235",,,,,,,"6,382,058,201","6,382,880,346","6,382,427,625","6,385,831,972","6,382,999,039",,,,,
Guatemala,UMIC,GTM,128,,"25,856,611","25,830,830","25,841,242","25,702,298","25,819,933",,,,,,,"1,030,803,723","1,030,113,699","1,030,280,998","1,019,048,316","1,025,685,262",,,,,,,"2,344,144,357","2,344,692,386","2,344,572,727","2,354,889,049","2,348,981,025",,,,,,,"347,592,577","347,653,526","347,586,715","341,186,036","343,926,946",,,,,,,"2,691,736,934","2,692,345,912","2,692,159,442","2,696,075,085","2,692,907,971",,,,,
Guinea,LIC,GIN,208,,"38,695,372","38,693,337","38,694,094","38,679,978","38,690,155",,,,,,,"2,016,228,113","2,015,986,720","2,016,113,574","1,453,308,524","2,014,672,021",,,,,,,"3,017,951,286","3,018,173,298","3,018,052,410","3,021,041,513","3,019,425,171",,,,,,,"473,151,249","473,213,467","473,171,234","471,441,299","472,063,644",,,,,,,"3,491,102,535","3,491,386,765","3,491,223,644","3,492,482,813","3,491,488,815",,,,,
Guinea-Bissau,LIC,GNB,209,,"5,520,853","5,520,662","5,520,692","5,518,668","5,520,018",,,,,,,"281,677,415","281,645,633","281,661,476","194,696,350","281,442,230",,,,,,,"390,775,758","390,805,643","390,790,051","391,232,741","390,996,755",,,,,,,"61,641,995","61,649,738","61,644,634","61,395,340","61,486,243",,,,,,,"452,417,753","452,455,381","452,434,686","452,628,081","452,482,998",,,,,
Haiti,LIC,HTI,114,,"19,497,090","19,485,455","19,486,984","19,421,324","19,486,163",,,,,,,"865,394,697","864,914,926","864,897,718","664,933,609","863,148,813",,,,,,,"1,232,838,739","1,233,237,033","1,233,261,390","1,238,929,487","1,235,013,150",,,,,,,"229,408,979","229,521,158","229,459,977","226,639,331","227,705,349",,,,,,,"1,462,247,718","1,462,758,191","1,462,721,367","1,465,568,818","1,462,718,499",,,,,
India,LMIC,IND,163,,"1,933,770,107","1,933,243,964","1,933,611,983","1,931,451,897","1,933,048,642",,,,,,,"70,765,047,202","70,746,807,345","70,758,396,559","70,344,279,259","70,539,663,087",,,,,,,"120,562,400,849","120,579,607,903","120,568,514,642","120,979,603,947","120,787,365,844",,,,,,,"23,399,770,314","23,405,883,022","23,401,630,564","23,088,039,760","23,206,803,053",,,,,,,"143,962,171,163","143,985,490,925","143,970,145,207","144,067,643,707","143,994,168,897",,,,,
Indonesia,UMIC,IDN,11,,"385,867,245","385,804,224","385,833,474","385,371,099","385,692,664",,,,,,,"13,077,400,829","13,074,801,459","13,075,637,884","13,018,555,110","13,048,514,700",,,,,,,"25,962,887,422","25,965,628,540","25,964,655,096","26,019,969,710","25,990,627,222",,,,,,,"4,147,792,048","4,148,049,726","4,147,774,554","4,118,550,322","4,130,653,787",,,,,,,"30,110,679,470","30,113,678,266","30,112,429,650","30,138,520,032","30,121,281,008",,,,,
Iran (Islamic Republic of),UMIC,IRN,142,,"109,681,438","109,617,387","109,635,156","109,398,713","109,665,356",,,,,,,"3,473,351,286","3,470,936,894","3,471,246,750","3,438,699,222","3,459,802,734",,,,,,,"7,892,931,592","7,895,598,261","7,895,017,468","7,927,794,100","7,906,464,852",,,,,,,"1,468,560,446","1,469,446,764","1,469,108,031","1,449,308,685","1,455,901,158",,,,,,,"9,361,492,037","9,365,045,025","9,364,125,499","9,377,102,786","9,362,366,010",,,,,
Iraq,UMIC,IRQ,143,,"79,573,043","79,532,221","79,540,575","79,346,357","79,542,526",,,,,,,"3,344,539,873","3,342,832,247","3,343,007,347","3,316,605,531","3,333,041,682",,,,,,,"7,522,300,214","7,523,816,295","7,523,601,041","7,548,660,865","7,533,501,429",,,,,,,"1,131,028,899","1,131,430,452","1,131,221,322","1,115,106,484","1,121,279,519",,,,,,,"8,653,329,113","8,655,246,747","8,654,822,363","8,663,767,349","8,654,780,948",,,,,
