,,,,,Deaths,,,,DALYs,,,,HYL,,,,YLD,,,,Prevalence,,
Country Name,Income Status,ISO3,GBD Code,,CRNullCOPD,CR2,CR4,,Null,CR2,CR4,,Null,CR1,CR3,,Null,CR1,CR3,,Null,CR1,CR3
Kazakhstan,UMIC,KAZ,36,,"26,816,590","26,816,590","26,816,590",,"926,122,880","925,034,898","920,785,842",,"2,185,380,812","2,186,468,794","2,190,717,851",,"317,085,461","315,997,479","311,748,423",,"2,502,466,274","2,502,466,274","2,502,466,274"
Kenya,LMIC,KEN,180,,"107,751,737","107,751,737","107,751,737",,"4,734,993,000","4,732,539,193","4,722,202,768",,"8,975,975,455","8,978,429,262","8,988,765,687",,"1,501,337,233","1,498,883,426","1,488,547,001",,"10,477,312,688","10,477,312,688","10,477,312,688"
Liberia,LIC,LBR,210,,"12,793,900","12,793,900","12,793,900",,"642,412,554","642,181,396","641,239,219",,"1,067,056,547","1,067,287,705","1,068,229,882",,"171,154,832","170,923,674","169,981,496",,"1,238,211,378","1,238,211,378","1,238,211,378"
Madagascar,LIC,MDG,181,,"66,640,755","66,640,755","66,640,755",,"3,305,629,206","3,303,773,272","3,296,213,137",,"6,383,284,443","6,385,140,377","6,392,700,511",,"988,543,719","986,687,785","979,127,651",,"7,371,828,162","7,371,828,162","7,371,828,162"
Malawi,LIC,MWI,182,,"48,545,058","48,545,058","48,545,058",,"2,371,956,005","2,371,069,352","2,367,459,139",,"4,411,875,451","4,412,762,103","4,416,372,317",,"681,023,151","680,136,498","676,526,285",,"5,092,898,602","5,092,898,602","5,092,898,602"
Malaysia,UMIC,MYS,13,,"37,993,461","37,993,461","37,993,461",,"1,247,440,289","1,246,241,983","1,242,028,918",,"2,987,674,497","2,988,872,804","2,993,085,869",,"479,938,302","478,739,995","474,526,930",,"3,467,612,799","3,467,612,799","3,467,612,799"
Mali,LIC,MLI,211,,"74,523,914","74,523,914","74,523,914",,"4,285,951,994","4,284,392,111","4,278,037,105",,"5,708,764,760","5,710,324,642","5,716,679,648",,"863,788,038","862,228,155","855,873,150",,"6,572,552,798","6,572,552,798","6,572,552,798"
Mexico,UMIC,MEX,130,,"152,065,818","152,065,818","152,065,818",,"5,074,491,143","5,069,819,330","5,055,762,656",,"12,015,658,250","12,020,330,063","12,034,386,737",,"1,736,397,090","1,731,725,277","1,717,668,603",,"13,752,055,340","13,752,055,340","13,752,055,340"
Morocco,LMIC,MAR,148,,"49,348,540","49,348,540","49,348,540",,"1,533,090,405","1,531,676,203","1,526,791,965",,"3,708,673,490","3,710,087,692","3,714,971,930",,"637,274,725","635,860,523","630,976,285",,"4,345,948,215","4,345,948,215","4,345,948,215"
Mozambique,LIC,MOZ,184,,"90,556,533","90,556,533","90,556,533",,"4,729,969,726","4,728,310,809","4,721,557,106",,"8,336,131,518","8,337,790,435","8,344,544,138",,"1,253,454,860","1,251,795,943","1,245,042,240",,"9,589,586,378","9,589,586,378","9,589,586,378"
Myanmar,LMIC,MMR,15,,"82,853,881","82,853,881","82,853,881",,"2,856,926,612","2,853,485,895","2,841,614,229",,"4,857,991,110","4,861,431,828","4,873,303,494",,"764,295,034","760,854,317","748,982,650",,"5,622,286,144","5,622,286,144","5,622,286,144"
Nepal,LMIC,NPL,164,,"40,951,453","40,951,453","40,951,453",,"1,358,306,644","1,356,582,105","1,350,007,670",,"2,307,240,350","2,308,964,889","2,315,539,324",,"443,282,308","441,557,769","434,983,334",,"2,750,522,658","2,750,522,658","2,750,522,658"
Niger,LIC,NER,213,,"116,655,308","116,655,308","116,655,308",,"7,381,276,418","7,379,448,314","7,372,000,736",,"11,420,972,478","11,422,800,583","11,430,248,161",,"1,588,266,768","1,586,438,664","1,578,991,086",,"13,009,239,246","13,009,239,246","13,009,239,246"
Nigeria,LMIC,NGA,214,,"756,663,648","756,663,648","756,663,648",,"43,164,943,579","43,158,127,489","43,129,405,027",,"49,018,091,215","49,024,907,305","49,053,629,767",,"7,224,210,014","7,217,393,924","7,188,671,462",,"56,242,301,229","56,242,301,229","56,242,301,229"
Pakistan,LMIC,PAK,165,,"416,844,538","416,844,538","416,844,538",,"17,812,470,458","17,799,961,748","17,752,340,653",,"31,344,848,291","31,357,357,000","31,404,978,096",,"5,134,147,534","5,121,638,824","5,074,017,729",,"36,478,995,824","36,478,995,824","36,478,995,824"
Peru,UMIC,PER,123,,"36,819,164","36,819,164","36,819,164",,"1,270,563,754","1,269,873,214","1,267,795,861",,"3,160,672,467","3,161,363,007","3,163,440,360",,"498,240,252","497,549,712","495,472,359",,"3,658,912,719","3,658,912,719","3,658,912,719"
Philippines,LMIC,PHL,16,,"157,817,324","157,817,324","157,817,324",,"5,823,811,223","5,818,898,424","5,801,927,393",,"12,249,784,546","12,254,697,345","12,271,668,376",,"1,844,477,571","1,839,564,772","1,822,593,741",,"14,094,262,117","14,094,262,117","14,094,262,117"
Russian Federation,UMIC,RUS,62,,"166,772,304","166,772,304","166,772,304",,"5,138,395,941","5,134,710,686","5,123,349,880",,"10,089,985,601","10,093,670,855","10,105,031,661",,"1,571,918,362","1,568,233,108","1,556,872,302",,"11,661,903,963","11,661,903,963","11,661,903,963"
Rwanda,LIC,RWA,185,,"27,832,117","27,832,117","27,832,117",,"1,238,500,897","1,237,771,535","1,234,801,062",,"2,549,210,912","2,549,940,274","2,552,910,746",,"421,563,643","420,834,281","417,863,809",,"2,970,774,555","2,970,774,555","2,970,774,555"
