observation,age,value,region,sex
StdGlycControl -> DiabeticRetinopathy,0_4,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,5_9,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,10_14,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,15_19,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,20_24,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,25_29,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,30_39,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,40_49,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,50_59,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,60_69,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,70_79,-75.0,Andean Latin America,M
StdGlycControl -> DiabeticRetinopathy,80_100,-75.0,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,0_4,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,5_9,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,10_14,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,15_19,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,20_24,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,25_29,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,30_39,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,40_49,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,50_59,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,60_69,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,70_79,-28.6,Andean Latin America,M
StdGlycControl -> LowerExtrmAmpt,80_100,-28.6,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,0_4,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,5_9,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,10_14,-39.0,Andean Latin America,M
StdGlycControl -> DiabeticNephropathy,15_19,-39.0,Andean Latin America,M
