timestamp,author,element_label,value
2020-01-01,avenir,Deceased,230502
2021-01-01,avenir,Deceased,231671
2022-01-01,avenir,Deceased,233201
2023-01-01,avenir,Deceased,235226
2024-01-01,avenir,Deceased,237445
2025-01-01,avenir,Deceased,239290
2026-01-01,avenir,Deceased,241328
2027-01-01,avenir,Deceased,243547
2028-01-01,avenir,Deceased,245989
2029-01-01,avenir,Deceased,248354
2030-01-01,avenir,Deceased,251142
2031-01-01,avenir,Deceased,254258
2032-01-01,avenir,Deceased,257054
2033-01-01,avenir,Deceased,260138
2034-01-01,avenir,Deceased,263480
2035-01-01,avenir,Deceased,267110
2036-01-01,avenir,Deceased,271017
2037-01-01,avenir,Deceased,275195
2038-01-01,avenir,Deceased,279623
2039-01-01,avenir,Deceased,284279
2040-01-01,avenir,Deceased,289336
2041-01-01,avenir,Deceased,295746
2042-01-01,avenir,Deceased,301365
2043-01-01,avenir,Deceased,307433
2044-01-01,avenir,Deceased,313802
2045-01-01,avenir,Deceased,320479
2046-01-01,avenir,Deceased,327411
2047-01-01,avenir,Deceased,334641
2048-01-01,avenir,Deceased,342130
2049-01-01,avenir,Deceased,349746
2050-01-01,avenir,Deceased,361784
2051-01-01,avenir,Deceased,375683
2052-01-01,avenir,Deceased,388430
2053-01-01,avenir,Deceased,401902
2054-01-01,avenir,Deceased,415750
2055-01-01,avenir,Deceased,430026
2056-01-01,avenir,Deceased,444682
2057-01-01,avenir,Deceased,459726
2058-01-01,avenir,Deceased,475198
2059-01-01,avenir,Deceased,490785
2060-01-01,avenir,Deceased,507055
2061-01-01,avenir,Deceased,523560
2062-01-01,avenir,Deceased,540146
2063-01-01,avenir,Deceased,557603
2064-01-01,avenir,Deceased,575092
2065-01-01,avenir,Deceased,592450
2066-01-01,avenir,Deceased,609916
2067-01-01,avenir,Deceased,627718
2068-01-01,avenir,Deceased,646364
2069-01-01,avenir,Deceased,664848
2070-01-01,avenir,Deceased,684351
2071-01-01,avenir,Deceased,703964
2072-01-01,avenir,Deceased,723625
2073-01-01,avenir,Deceased,744431
2074-01-01,avenir,Deceased,764914
2075-01-01,avenir,Deceased,784843
2076-01-01,avenir,Deceased,804139
