timestamp,author,element_label,value
2091-01-01,avenir,Deceased,996573
2092-01-01,avenir,Deceased,1003607
2093-01-01,avenir,Deceased,1011489
2094-01-01,avenir,Deceased,1019185
2095-01-01,avenir,Deceased,1025510
2096-01-01,avenir,Deceased,1032222
2097-01-01,avenir,Deceased,1037477
2098-01-01,avenir,Deceased,1041959
2099-01-01,avenir,Deceased,1046381
2100-01-01,avenir,Deceased,1052811
2101-01-01,avenir,Deceased,1058381
2102-01-01,avenir,Deceased,1063200
2103-01-01,avenir,Deceased,1067383
2104-01-01,avenir,Deceased,1071039
2105-01-01,avenir,Deceased,1074245
2106-01-01,avenir,Deceased,1077022
2107-01-01,avenir,Deceased,1079381
2108-01-01,avenir,Deceased,1081340
2109-01-01,avenir,Deceased,1082917
2110-01-01,avenir,Deceased,1083965
2111-01-01,avenir,Deceased,1084657
2112-01-01,avenir,Deceased,1085030
2113-01-01,avenir,Deceased,1085119
2114-01-01,avenir,Deceased,1084977
2115-01-01,avenir,Deceased,1084651
2116-01-01,avenir,Deceased,1084167
2117-01-01,avenir,Deceased,1083548
2118-01-01,avenir,Deceased,1082815
2119-01-01,avenir,Deceased,1081985
2019-01-01,avenir,DsFreeSus -> DiabetesEpsd,98656
2020-01-01,avenir,DsFreeSus -> DiabetesEpsd,102395
2021-01-01,avenir,DsFreeSus -> DiabetesEpsd,106553
2022-01-01,avenir,DsFreeSus -> DiabetesEpsd,110667
2023-01-01,avenir,DsFreeSus -> DiabetesEpsd,115029
2024-01-01,avenir,DsFreeSus -> DiabetesEpsd,119413
2025-01-01,avenir,DsFreeSus -> DiabetesEpsd,123900
2026-01-01,avenir,DsFreeSus -> DiabetesEpsd,128487
2027-01-01,avenir,DsFreeSus -> DiabetesEpsd,133149
2028-01-01,avenir,DsFreeSus -> DiabetesEpsd,138030
2029-01-01,avenir,DsFreeSus -> DiabetesEpsd,142960
2030-01-01,avenir,DsFreeSus -> DiabetesEpsd,148083
2031-01-01,avenir,DsFreeSus -> DiabetesEpsd,153303
2032-01-01,avenir,DsFreeSus -> DiabetesEpsd,158674
2033-01-01,avenir,DsFreeSus -> DiabetesEpsd,164349
2034-01-01,avenir,DsFreeSus -> DiabetesEpsd,170108
2035-01-01,avenir,DsFreeSus -> DiabetesEpsd,175986
2036-01-01,avenir,DsFreeSus -> DiabetesEpsd,181958
2037-01-01,avenir,DsFreeSus -> DiabetesEpsd,187941
2038-01-01,avenir,DsFreeSus -> DiabetesEpsd,194011
2039-01-01,avenir,DsFreeSus -> DiabetesEpsd,200176
2040-01-01,avenir,DsFreeSus -> DiabetesEpsd,206636
2041-01-01,avenir,DsFreeSus -> DiabetesEpsd,213011
2042-01-01,avenir,DsFreeSus -> DiabetesEpsd,219687
2043-01-01,avenir,DsFreeSus -> DiabetesEpsd,226713
2044-01-01,avenir,DsFreeSus -> DiabetesEpsd,233874
2045-01-01,avenir,DsFreeSus -> DiabetesEpsd,241152
2046-01-01,avenir,DsFreeSus -> DiabetesEpsd,248348
2047-01-01,avenir,DsFreeSus -> DiabetesEpsd,255554
2048-01-01,avenir,DsFreeSus -> DiabetesEpsd,263059
2049-01-01,avenir,DsFreeSus -> DiabetesEpsd,270039
2050-01-01,avenir,DsFreeSus -> DiabetesEpsd,277113
2051-01-01,avenir,DsFreeSus -> DiabetesEpsd,284046
2052-01-01,avenir,DsFreeSus -> DiabetesEpsd,290823
2053-01-01,avenir,DsFreeSus -> DiabetesEpsd,297810
2054-01-01,avenir,DsFreeSus -> DiabetesEpsd,304777
2055-01-01,avenir,DsFreeSus -> DiabetesEpsd,311545
2056-01-01,avenir,DsFreeSus -> DiabetesEpsd,318184
2057-01-01,avenir,DsFreeSus -> DiabetesEpsd,324566
2058-01-01,avenir,DsFreeSus -> DiabetesEpsd,330992
2059-01-01,avenir,DsFreeSus -> DiabetesEpsd,336820
2060-01-01,avenir,DsFreeSus -> DiabetesEpsd,342785
2061-01-01,avenir,DsFreeSus -> DiabetesEpsd,348548
2062-01-01,avenir,DsFreeSus -> DiabetesEpsd,353891
2063-01-01,avenir,DsFreeSus -> DiabetesEpsd,359071
2064-01-01,avenir,DsFreeSus -> DiabetesEpsd,364067
2065-01-01,avenir,DsFreeSus -> DiabetesEpsd,368761
2066-01-01,avenir,DsFreeSus -> DiabetesEpsd,373355
2067-01-01,avenir,DsFreeSus -> DiabetesEpsd,377647
2068-01-01,avenir,DsFreeSus -> DiabetesEpsd,381633
2069-01-01,avenir,DsFreeSus -> DiabetesEpsd,385506
